 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|bangalore north (yelahanka)|laggere 4th circle|33972|JAI MARUTHI NAGARA 2|Anganwadi|co-ed|kannada|Nandini Layout Post, 2nd Main, War No. 12|jai Maruthi Nagar|560096|Jai Maruthi Nagar Bus Stop|Rose Colour Building|80 A||POINT(77.53248 13.01022)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|33974|NAGAR BHAVI|Anganwadi|co-ed|kannada|I.S.E.C Main Road|Nagarabhavi Village|560072|B.B.M.P. Office Building|Cream Colour Building|||POINT(77.51583 12.95762)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|33847|JARAKABANDE 2ND|Anganwadi|co-ed|kannada|3rd Cross, Kateerava Nagar, Nandini Layout|Jaragabande|560096|Behind Nandini Layout Bus Stop|White Colour Building|401, 501, 500, 600||POINT(77.5356 13.01574)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|33858|KAREKALU|Anganwadi|co-ed|kannada|Kamakshipalya Main Road, 1st Main Road|Karekallu|560079|Near Kamakshipalya Bus Stop|Home Style|243, 244, 245, 248||POINT(77.53226 12.98957)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|33860|HOSALANAGER|Anganwadi|co-ed|kannada|Manasa Nagara, 3rd Main Road, 2nd Cross, Nagarabhavi 1st Stage|Nagarabhavi|560072|Near Nagarabhavi Bus Stop|Inside G.K.H.P.S Nagarabhavi||Pista Colour Building|POINT(77.51626 12.9599)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|30484|SWATANTRAYODHARANAGARA|Anganwadi|co-ed|kannada|17th Main, Narasimha Complex|Swatantra Yodha Nagar|560058|Near Swatantra Yodha Nagar Bus Stop|Pista Colour Building|401, 501, 600, 500||POINT(77.52859 13.00726)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|30502|PEENYA|Anganwadi|co-ed|kannada|1st Cross, S.R.S Road|Pennya (S.R.S)|560056|Near S.R.S Bus Stop|Gym Centre Building||Cream Colour Building|POINT(77.53006 13.03533)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|33541|SAJJEPALYA(SUMNA HALLI)|Anganwadi|co-ed|kannada|Sumanahalli, 2nd Cross, Sumanahalli Main Road|Sajjepalya||Near Sumanahalli Bus Stop|Cream Colour Compound|245, 248, 243, 244|Cream Colour Building|POINT(77.51776 12.98614)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|30469|ANNAPOORNESHWARINAGARA|Anganwadi|co-ed|kannada|Bramma Devara Matada Road, Ward No 70|Annapurneshwari Nagar|560068|Near Kempegowda Layout Bus Stop|White Colour Building|401, 501||POINT(77.51642 13.00075)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|30295|JAI BHUVANESHWARINAGARA 1|Anganwadi|co-ed|kannada|Nandini Layout Post, Ring Road, 1st Main Road, 2nd Block|Jai Bhuvaneshwari Nagar|560096|Behind Nandini Layout Bus Stop|Inside G.K.H.P.S Kulinagar|500, 401, 501||POINT(77.52928 13.01372)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|30268|JARAKABANDE  1|Anganwadi|co-ed|kannada|Kanteerava Studio Main Road, 2nd Main, 2nd Cross, Krishananda Nagar, Nandini Layout Post, N-1|Jaragabande|560096|Near Jaragabande Bus Stop|Cream Colour Building|252 F||POINT(77.54165 13.01821)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|30231|LAGGERE  1|Anganwadi|co-ed|kannada|3rd Main Road, Kempegowda Layout|Laggere|560058|Near Kempegowda Layout Bus Stop|Cream Colour Building|401, 501, 500, 600||POINT(77.5266 12.99959)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|29646|LEGGERE 2|Anganwadi|co-ed|kannada|2nd Main Road, 4th Cross|Laggere|560058|Near Laggere Bus Stop|White Colour Building|401, 501, 600, 500|Inside G.K.M.P.S Laggere|POINT(77.52358 13.00969)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|29630|JALAHALLI 1|Anganwadi|co-ed|kannada|K.S Road, 3rd Cross|Jalahalli|560013|Near Bahubali Bus Stop|Cream Colour Building|270 C|Inside Samudaya Bhavan|POINT(77.54898 13.04735)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|29622|DHEENABANDHUNAGAR|Anganwadi|co-ed|kannada|18th Main, Nandini Layout, N-1|Dheenabandu Nagar|560096|Near Jaragabande Bus Stop|Pista Colour Building|252 F||POINT(77.53799 13.01586)
 bangalore|bangalore north (yelahanka)|laggere 4th circle|29626|SANAKIBIYILLU|Anganwadi|co-ed|kannada|1st Main, 7th Cross, Rushanbhavathi Nagar, Kamakshipalya|Sannakkibayalu||Near Sumanahalli Bus Stop|Gown Style|245, 248, 243, 244||POINT(77.52444 12.99125)
