 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|south-4|jeevan bheema nagar|32390|GKLPS VIBHUTHIPURA|Lower Primary|co-ed|kannada|2nd Main Road, Vibhuthipura Main Road|Vibhuthipura|560037|Near Samudhaya Bhavan|Cream Colour Compound|330, 335|Cream Colour Building|POINT(77.67729 12.96411)
 bangalore|south-2|hosahalli|32257|GKMPS HOSAHALLI|Model Primary|co-ed|kannada|9th Main Road, 9th Cross, Vijaya Nagar|Hosahalli|560040|Opposite Belur Iyengars Bakery|Infront Hosahalli Arch Bus Stop & Near Vijaya Nagar Bus Stop|61 A, 61 D, 61 G, 61 H|Yellow Colour Building & Play Ground|POINT(77.54371 12.96966)
 bangalore|north-3|vasanthnagar|33143|GTLPS HOSPITAL ROAD|Lower Primary|co-ed|tamil|# 41,Hospital Raod,Black Pally,Bangalore|Shivaji Nagar|560001|Behind Muneshwara Swamy Temple|Cement Colour Building & Blue Colour Door||Drawing Compound & Black Colour Gate|POINT(77.60095 12.9828)
 bangalore|north-2|malleswaram|33171|GKLPS SWATHANTRANAGARA|Lower Primary|co-ed|kannada|5th Main Road, 5th Cross, N.P.Block, Srirampuram, Bangalore|Swatantra Nagar|560021|Beside Ganesha Temple|Yellow Colour Building & Brown Colour Door|52E|Pink & Yellow Colour Compound & Green Gate|POINT(77.56881 12.99203)
 bangalore|north-3|frazer town|32212|GKLPS GAJENDRANAGAR|Lower Primary|co-ed|kannada|8th Cross, 1st Main Road, M.S.Nagar Post, Bangalore|Gajendra Nagar|560033|Near Byappanahalli Bus Stop|Yellow Colour Building & Brown Colour Gate|123|Yellow Colour Compound & Brown Colour Doors|POINT(77.63833 12.99328)
 bangalore|north-2|prakashnagara|33188|GKLPS MARIYAPPANA PALYA SLUM|Lower Primary|co-ed|kannada|#398, 5th Main Road, 3rd Cross, Masjid Block, Srirampura, Bangalore|Mariyappanapalya|560021|Near Chamundeshwari Devi Temple|Green Colour Building & Blue Colour Doors||Sheet Building|POINT(77.55859 12.99669)
 bangalore|north-3|frazer town|32203|GKMPS SARVAGNYA NAGAR|Lower Primary|co-ed|kannada|M.M. Road, Frazer Town, North 3|Cox Town|560005|Opposite B.B.M.P Office|No Painted Stone Compound|300, 302|Cream Colour Sheet Building|POINT(77.62017 12.99853)
 bangalore|south-4|k r puram|32495|GKLPS JYOTHIPURA|Lower Primary|co-ed|kannada|3rd Cross, FCI Main Road, Dooravani Nagar Post, Vijnapura, Bangalore|Jyothipura|560016|Beside Shaneshwara Swamy Temple|White Colour Building And Blue Colour Shutter Door|500, 600|Sheet Building|POINT(77.66977 12.99893)
 bangalore|north-3|j c nagar|32311|GKHPS MAJOR RAMASWAMY PALYA|Upper Primary|co-ed|kannada|Nandi Durga Road, Chinnappa Garden Road|M.R.S Palya|560046|Near Anjaneya Swamy Temple|Brown Colour Building, Play Ground||White Colour Compound, Brown Colour Gate|POINT(77.60096 13.00139)
 bangalore|north-2|malleswaram|33166|GKHPS KODANDARAMAPURA|Upper Primary|co-ed|kannada|11th Cross, Malleshwaram, 1st Cross, Coconut Trees Road, Bangalore|Kodandaramapuram|560003|Behind B.M.P.High School|White Colour Building & Blue Colour Doors||White Colour Compound & Red Colour Gate|POINT(77.57288 13.00189)
 bangalore|south-4|rammurthynagar|33325|GUMPS VIJINAPURA|Model Primary|co-ed|urdu|Flat From Road, Dooravani Nagar Post, Bangalore|Vijanapura|560016|Beside Masjid|Yellow And White Colour Building And Brown Colour Door|0|Yellow Colour Compound And Indian Flag Colour Gate|POINT(77.67056 13.00223)
 bangalore|north-3|banaswadi|32505|GKLPS LINGARAJAPURAM A BLOCK|Lower Primary|co-ed|kannada|Janaki Ram Road, 23rd Cross, Thomas Town Post, North 3|Lingarajapura|560084|Behind Banasavadi Railway Station|White Colour Building|296||POINT(77.63118 13.00515)
 bangalore|north-3|d.j. halli|32071|GKMPS DJ HALLI|Model Primary|co-ed|kannada|Periyar Nagar, D.J. Halli Post, Bangalore|D.J. Halli|560045|Beside Governament Hospital D.J. Halli|Yellow Colour Building And Blue Colour Door|290, 291|Infront Play Ground|POINT(77.61138 13.01043)
 bangalore|north-3|kaval byrasandra|33156|GKLPS VENKATESHPURA|Lower Primary|co-ed|kannada|Rama Temple Road, Arabic College Post, K.G.Halli, Bangalore|Venkateshpura|560045|Opposite Rama Temple|White Colour Building & Blue Colour Door|290|Yellow Colour Compound & Black Colour Gate & School Entrance Small Arch|POINT(77.61826 13.01525)
 bangalore|north-2|yashwanthpura|32473|GULPS MK NAGAR|Lower Primary|co-ed|urdu|6th Main Road, 2nd Cross, 100 Feet Road, Bangalore|Mohankumar Nagar|560022|Beside St.Pauls English High School|Yellow Colour Building & Brown Colour Door||Sheet Building|POINT(77.55076 13.03011)
 bangalore|south-4|jodi huskur|33359|GKLPS THIRUMENAHALLI|Lower Primary|co-ed|kannada|Manduru Post, Bidarahalli Hobli, Banglaore|Thirumenahalli|560049|Near Thirumenahalli Bus Stop|White Colour Building & Beside Ashwath Katte||Stone Compound (No Colour) & Blue Colour Gate|POINT(77.75335 13.11158)
 bangalore|south-4|thanisandra|32797|GKLPS RACHENAHALLI|Lower Primary|co-ed|kannada|Shivarama Karanth Nagar Post||560077|Near Watertank|No Painted Compound|290 A, 290 J||POINT(77.62403 13.05758)
 bangalore|south-4|thanisandra|32799|GUHPS R K HEGDE NAGAR|Lower Primary|co-ed|urdu|Shivarama Karanth Nagar Post||560077|Near Bus Stop|Compound with Playground|290 E, 290 F, G10, 291 J, 291 E|Cream Colour Building|POINT(77.63197 13.0704)
 bangalore|south-4|varthur|32897|GKHPS PANTUR|Upper Primary|co-ed|kannada|Panthuru Post, Varthuru Hobli|Panthuru|560103|Near Panthuru Bus Stop|Pink Colour Compound|336, 339, 327, 500 T, 500 A|White Colour Building|POINT(77.70473 12.93681)
 bangalore|south-4|varthur|32898|GKHPS RAMGONDANAHALLI|Upper Primary|co-ed|kannada|White Field Post, Varthur Main Road|Ramgondanahalli|560066|Near Ramgondanahalli Bus Stop|No Painted Compound, Play Ground|500, 600, 504|White Colour Building|POINT(77.73849 12.95663)
 bangalore|south-4|varthur|32901|GKLPS BHOGANAHALLI|Lower Primary|co-ed|kannada|Panthuru Post, Via Varthuru|Bhoganahalli||Near Bhoghanahalli Bus Stop|Pink Colour Compound|500, 336|Pink Colour Building|POINT(77.70238 12.92847)
 bangalore|south-4|varthur|32903|GKLPS MADHURANAGAR|Lower Primary|co-ed|kannada|Varthur Post, Varthur Hobli|Madhura Nagar|560087|Near K.N.R Store|No Compound, Play Ground|329C, 328E|White Colour Building|POINT(77.76145 12.94128)
 bangalore|south-4|varthur|32904|GKHPS SIDDAPURA|Upper Primary|co-ed|kannada|White Field Post, Varthur Main Road|Siddapura|560066|Opposite Siddapura Bus Stop|No Painted Compound, Play Ground|500, 600, 504|White Colour Building|POINT(77.73158 12.95556)
 bangalore|south-4|varthur|32911|GKLPS KARIAMMANA AGRAHARA|Lower Primary|co-ed|kannada|Bellanduru Post, Varthuru Hobli|Kariyana Agrahara|560103|Near New Horizon College Bus Stop|White Colour Building|500, 341|Playground|POINT(77.68546 12.93645)
 bangalore|south-4|rammurthynagar|33322|GKLPS LAXMAN MURTHY NAGARA|Lower Primary|co-ed|kannada|Ramurthy Nagar post||560016|Little Flower Hospital|White Colour Building|300E,500|Play Ground|POINT(77.67646 13.00783)
 bangalore|north-4|chikkajala|33257|GKLPS MARANAYAKANAHALLI|Lower Primary|co-ed|kannada|Chikkajala Post, Jala Hobli, Bangalore|Maranayakanahalli|562157|Near Marayankanahalli Bus Stop|Yellow & Pink Colour Building & Infront Play Ground|282 F|Brown Colour Door & Infront Flag Post|POINT(77.64883 13.16932)
 bangalore|north-1|madanayakanahalli|33289|GKHPS LAKSHMIPURA (CHIKKABIDARAKALLU)|Upper Primary|co-ed|kannada|Laxmipura Post, Dasanpura Hobli|Laxmipura|562123|Behind Laxmipura Bus Stop|White Colour Building|263 C, 263 K, 240 F|White Colour Compound|POINT(77.46219 13.03681)
 bangalore|north-1|madanayakanahalli|33297|GKLPS KAMMASANDRA (MADANAYAKANAHALLI)|Lower Primary|co-ed|kannada|Laxmipura Post, Dasanpura Hobli|Kammasandra|562123|Behind Kammasandra Bus Stop|No Painted Compound|263 K|Cream Colour Building|POINT(77.43905 13.03016)
 bangalore|north-1|sondekoppa|33306|GKLPS HUNNIGERE (SONDEKOPPA)|Lower Primary|co-ed|kannada|Sondekoppa Post, Dasanpura Hobli, Bangalore North 1|Hunnegere|562130|Near Gerhalli Bus Stop|Cream Colour Compound & Play Ground|377, 374, 245|Cream Colour Building & Coconut Tree|POINT(77.39542 13.0333)
