"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
181,,"225-Q","Kempegowda Bus Stn","B.E.M.L. 5th Phase ",17.2,1,12,"GS",12,,,
182,,"225-S","Shanthinagar BusStation","Shanthinagar bus station",32.5,2,8,8,16,,,
183,17,226,"K R Market","Billa Kempanahalli",27.8,1,6,6,12,,,
184,,"226-A","Kempegowda Bus Stn","Hampapura",30.2,1,7,7,14,,,
185,,"226-B","K R Market","Hampapura",26.2,1,6,6,12,,,
186,,"226-C","K R Market","Thimmappana Palya",27.1,2,5,5,10,,,
187,,"226-D","K R Market","Vajarahalli",28.7,1,6,6,12,,,
188,,"226-E","K R Market","Channegowdana Doddi",28.8,1,6,6,12,,,
189,,"226-F","K R Market","Vajarahalli",32.3,1,4,4,8,,,
190,,"226-G","Shivajinagar","Bidadi",35.8,1,4,4,8,,,
191,,"226-J","Kempegowda Bus Stn","Thimmappana Palya",28.6,1,5,5,10,,,
192,,"226-K","K R Market","Shanumangala",31.1,1,6,6,12,,,
193,,"226-L","K R Market","Hakki Pikki colony",27,1,7,7,14,,,
194,,"226-M","K R Market","Bidadi",30.8,13,78,78,156,,,
195,,"226-N","Kempegowda Bus Stn","Bidadi",30.6,15,90,90,180,,,
196,,"226-P","K R Market","M Korenahalli",34.7,1,5,5,10,,,
197,,"226-Q","Kempegowda Bus Stn","Vajarahalli",28.2,1,5,5,10,,,
198,,"226-R","K R Market","Parasanapalya",30.8,1,4,4,8,,,
199,,"226-S","K.R.Market","Anchipura Colony",37.8,1,3,2,5,,,
200,,"226-T","K.R.Market","Thalaguppe",30.6,1,6,6,12,,,
201,,"226-U","K.R.Market","Kenchanakuppe",32,1,6,"GS",8,,,
202,,"226-V","K.R.Market","Thore Doddi",37.9,1,6,6,12,,,
203,,"226-VA","K.R.Market","Ramanahalli ",40,1,3,3,6,,,
204,,"226-VB","K.R.Market","Annahalli ",46.9,1,3,3,6,,,
205,,"226-W","K.R.Market","Byramangala ",38.2,1,3,3,6,,,
206,,"226-X","Kengeri Bus Station","Kaggalipura",30.3,1,5,5,10,,,
207,18,227,"K R Market","Chunchana Kuppe",27.8,1,6,6,12,,,
208,,"227-A","K R Market","Mayasandra",34,1,5,5,10,,,
209,,"227-B","K R Market","Tavarekere ",31.5,1,6,6,12,,,
210,,"227-C","K R Market","Bheemana Kuppe",20.5,1,7,7,14,,,
211,,"227-D","K R Market","Uddandahalli",25.5,1,6,6,12,,,
212,,"227-E","K R Market","Huluvenahalli",30.7,1,5,5,10,,,
213,,"227-F","K R Market","Chikkanahalli",33.7,1,5,5,10,,,
214,,"227-G","K R Market","Subbarayappana Palya",22.5,1,5,5,10,,,
215,,"227-H","K R Market","Kurubarapalya",28.9,1,5,5,10,,,
216,,"227-J","K R Market","Maligondanahalli",23.5,1,6,6,12,,,
217,,"227-K","K R Market","Basammanahalli",34.7,1,5,5,10,,,
218,,"227-L","K R Market","Halammana Palya ",32.2,1,6,6,12,,,
219,,"227-M","K R Market","Magadi",53.8,1,3,3,6,,,
220,,"227-N","K R Market","Punugumaranahalli",29.8,1,5,5,10,,,
221,,"227-NA","K.R.Market","Mada Patna",30.5,1,4,4,8,,,
222,,"227-P","Kempegowda Bus Stn","Hunnigere",33.1,1,5,5,10,,,
223,,"227-Q","K R Market","Purada Palya ",30.5,1,5,5,10,,,
224,,"227-R","K R Market","Byalalu",26.5,1,7,7,14,,,
225,,"227-RC","K.R.Market","Chandrappa Circle",29,1,4,4,8,,,
226,,"227-S","K R Market","S. Gollahalli",32,1,4,4,8,,,
227,,"227-T","K R Market","C.K.Tandya",26,1,6,6,12,,,
228,,"227-U","K.R.Market","Hagalahalli",38.9,1,3,5,8,,,
229,,"227-V","K R Market","Manchana Bele",35.8,1,3,3,6,,,
230,,"227-VA","K R Market","Veera Gowdana Doddi",43.2,1,3,3,6,,,
231,,"227-VB","K.R. Market","Gadigaiahna Doddi ",37.9,1,3,3,6,,,
232,,"227-W","K R Market","Averahalli",38.7,1,6,"GS",6,,,
233,,"227-X","K R Market","Tippagondanahalli",39,1,6,6,12,,,
234,,"227-Y","K R Market","Mukthinagar Temple",25.6,1,4,4,8,,,
235,,"227-Z","K.R.Market","Sugganahalli ",44.2,1,3,3,6,,,
236,,"227-ZA","K.R.Market","Thirumalapura ",43.8,1,4,4,8,,,
237,19,"228-A","K R Market","Parasanapalya",30,2,8,8,16,,,
