"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
447,,"248-T","K.R.Market","Kirloskar Badavane",24.2,1,4,5,9,,,9
448,,"248-U","K.R.Market","K.R.S.Gowda Layout",23.8,1,8,"GS",8,,,8
449,,"248-V","K.R.Market","Shettihalli",24.2,1,4,4,8,,,8
450,,"248-Y","K.R.Market","Pillahalli",36.3,1,4,4,8,,,8
451,,"249-D","Mahalaxmi Layout","Gollarahatti",14.5,1,7,7,14,,,14
452,40,250,"K R Market","Chikka Banavara",20.5,4,25,25,50,,,50
453,,"250-A","K R Market","Bagalagunte",17.8,2,24,24,48,,,48
454,,"250-AA","K.R.Market","Medarahalli  Rly. Gate ",24,1,5,6,11,,,11
455,,"250-AB","Kempegowda Bus Stn","Medarahalli  Rly. Gate ",18.9,3,15,15,30,,,30
456,,"250-B","Kempegowda Bus Stn","Thammenahalli",18.9,3,14,14,28,,,28
457,,"250-BA","Kempegowda Bus Stn","Sheshadri Nagara",17,1,6,"GS",6,,,6
458,,"250-C","Kempegowda Bus Stn","Bagalagunte",14.9,2,15,15,30,,,30
459,,"250-CA","Kempegowda Bus Stn","Kirloskar Badavane",16.7,1,5,5,10,,,10
460,,"250-CB","Kempegowda Bus Stn","Mallasandra ",17.6,1,5,5,10,,,10
461,,"250-CC","K.R.Market","Munikondappa Badavane",18.1,1,6,6,12,,,12
462,,"250-D","K R Market","Ganigarahalli",19.3,1,6,6,12,,,12
463,,"250-E","K R Market","Thammenahalli",21.7,1,6,6,12,,,12
464,,"250-F","K R Market","Soma Shettahalli",22.3,1,7,7,14,,,14
465,,"250-G","K R Market","Ravindranagar(Revannasiddeswar)",18.7,2,12,12,24,,,24
466,,"250-H","Kempegowda Bus Stn","IAF Chimani Hills",16.9,1,6,6,12,,,12
467,,"250-J","Kempegowda Bus Stn","Thotadaguddadahalli",16.7,1,5,5,10,,,10
468,,"250-K","K R Market","Ganigarahalli",21.7,1,5,5,10,,,10
469,,"250-L","Kempegowda Bus Stn","Ravendra Nagara ",14,1,12,"GS",12,,,12
470,,"250-M","Kempegowda Bus Stn","MEI Layout",16.3,1,8,8,16,,,16
471,,"250-N","Shivajinagar","MEI Layout",17.6,1,7,7,14,,,14
472,,"250-P","Kempegowda Bus Stn","Chikka Banavara",16.9,7,49,49,98,,,98
473,,"250-R","K R Market","Chimani Hills",19.2,1,7,7,14,,,14
474,,"250-S","Kempegowda Bus Stn","Geleyarabalaga ",16.8,1,8,8,16,,,16
475,,"250-SA","Kempegowda Bus Stn","Kuduregere",20.1,3,24,24,48,,,48
476,,"250-T","K R Market","Kuduregere",16.8,1,5,5,10,,,10
477,,"250-TA","K R Market","Meenakshi Layout ",19,1,10,"GS",10,,,10
478,,"250-V","Shivajinagar","Thammenahalli",20.2,1,7,7,14,,,14
479,,"250-W","Shivajinagara Bus Station","Chikka Banavara",20,1,7,7,14,,,14
480,,"250-X","Shivajinagara Bus Station","Thammenahalli",24.2,1,7,"GS",7,,,7
481,,"250-Y","Kempegowda Bus Stn","Kuduregere",20.3,2,12,14,26,,,26
482,,"250-YA","Kempegowda Bus Stn","Meenakshi Layout ",15.8,2,13,14,13,,,13
483,,"250-Z","Kempegowda Bus Stn","Achitha Nagara",19.9,1,7,7,14,,,14
484,41,251,"K R Market","Shivakote",31,1,5,5,10,,,10
485,,"251-A","K R Market","Kakolu",37.4,1,5,5,10,,,10
486,,"251-B","Kempegowda Bus Stn","Rajanukunte",38.2,1,4,4,8,,,8
487,,"251-C","Shivajinagar","Laggere",16.7,5,38,38,76,,,76
488,,"251-D","K R Market","Rajiv Gandhi Nagar",18.2,1,7,7,14,,,14
489,,"251-E","K R Market","Laggere (via Mahalxmi Layout)",14.9,5,40,40,80,,,80
490,,"251-F","K R Market","Rajiv Gandhi Nagar",19.7,1,6,6,12,,,12
491,,"251-G","K.R.Market","Muthkur",31,1,4,4,8,,,8
492,,"251-M","K R Market","Karlapura",38.3,1,5,5,10,,,10
493,42,252,"Kempegowda Bus Stn","Peenya 2nd Stage",16.2,15,118,118,236,,,236
494,,"252-A","Shivajinagar","Peenya 2nd Stage",18.1,14,80,80,160,,,160
495,,"252-B","Peenya 2nd Stage","Banasawadi",29.2,2,15,15,30,,,30
496,,"252-C","Kempegowda Bus Stn","Machohalli",25.5,1,5,5,10,,,10
497,,"252-D","Kempegowda Bus Stn","Rajani Farm",15.5,1,9,9,18,,,18
498,,"252-E","Kempegowda Bus Stn","Laggere",15.2,10,72,72,144,,,144
499,,"252-F","Kempegowda Bus Stn","Peenya 2nd Stage",13.8,11,69,71,140,,,140
500,,"252-FA","Kempegowda Bus Stn","Thigalarapalya",18.4,2,18,18,36,,,36
501,,"252-G","Kempegowda Bus Stn","Byadarahalli ",23.6,1,2,2,4,,,4
502,,"252-GA","Yeshwanthapura Bus Station","Vidyamanyanagara Srinivasa Temple",13.9,1,7,8,15,,,15
503,,"252-H","Kempegowda Bus Stn","Rajiv Gandhi Nagar",12.3,3,25,25,50,,,50
504,,"252-J","Peenya 2nd Stage","Bhoopasandra",17.5,1,6,6,12,,,12
505,,"252-K","Shivajinagar","Kareemsab Palya",20,1,7,7,14,,,14
506,,"252-L","Peenya 2nd Stage","Bandireddy circle",15.8,1,7,7,14,,,14
507,,"252-M","Peenya 2nd Stage","Boopasandra",16,1,6,6,12,,,12
508,,"252-N","Peenya 2nd Stage","Jeevanahalli",23.8,1,7,7,14,,,14
509,,"252-R","Kempegowda Bus Stn","Indira Priyadarshni Nagar",18,1,10,"GS",10,,,10
510,,"252-RA","Kempegowda Bus Stn","Annapoorneshwari Nagar",18.5,1,10,"GS",10,,,10
511,,"252-U","Kempegowda Bus Stn","Thigalarapalya",19.4,1,9,9,18,,,18
512,43,253,"K R Market","Indo Danish Farm",32.1,3,17,17,34,,,34
513,,"253-A","K R Market","Byatha",36.5,1,5,5,10,,,10
514,,"253-B","Kempegowda Bus Stn","Kanaswadi",37.4,1,6,6,12,,,12
515,,"253-C","Shivajinagar","Indo Danish Farm",31.5,1,4,4,8,,,8
516,,"253-D","K R Market","Thore Nagasandra",31.8,1,5,5,10,,,10
517,,"253-E","K R Market","Railway Gollahalli",36.1,2,12,12,24,,,24
518,,"253-F","K R Market","Kallodu",39.8,1,6,6,12,,,12
519,,"253-G","K R Market","Madurai",37.4,1,3,3,6,,,6
520,,"253-H","K.R.Market","Mallohalli",41.2,1,3,5,8,,,8
521,,"253-J","Kempegowda Bus Stn","Hesaraghatta",26.4,3,26,26,52,,,52
522,,"253-K","K R Market","Kanasawadi (Madhure Temple) ",41,3,10,10,20,,,20
523,,"253-L","K R Market","Hesaraghatta Indo Danish Farm",31.7,1,3,3,6,,,6
524,,"253-M","Kempegowda Bus Stn","Totagere Basavnna Temple",29.4,1,5,5,10,,,10
525,,"253-N","K R Market","Kodihalli",36.4,1,4,4,8,,,8
526,,"253-P","K R Market","Hosahalli palya",35.4,1,5,5,10,,,10
527,,"253-Q","Kempegowda Bus Stn","Chikka Kukkanahalli",32.1,1,4,4,8,,,8
528,,"253-R","Kempegowda Bus Stn","Gopalapura ",30.4,1,3,5,8,,,8
529,,"253-T","Shivajinagar Bus Station","Kanaswadi (S.M.Temple) ",40,1,5,"GS",5,,,5
530,,"253-V","Kempegowda Bus Stn","Totagere Village ",31,1,6,"GS",6,,,6
531,,"253-W","K.R. Market","Thammarasanahalli ",29.2,1,4,"GS",4,,,4
532,44,254,"K R Market","Bylakere",29.4,1,5,5,10,,,10
533,,"254-A","K R Market","Siluvepura",24.2,2,13,13,26,,,26
534,,"254-B","K.R.Market","Kumbarahalli",24.3,1,4,4,8,,,8
535,,"254-C","K R Market","Kala Thammana Halli",27.1,2,11,11,22,,,22
536,,"254-D","K R Market","Kempapura",22.3,1,6,6,12,,,12
537,,"254-E","K R Market","Kempapura",22.5,1,6,6,12,,,12
538,45,255,"K R Market","Mattahalli",29.4,1,6,6,12,,,12
539,,"255-A","K R Market","Huskur Village",31.3,2,9,9,18,,,18
540,,"255-AA","Kempegowda Bus Stn","Mathahalli",18.7,1,2,5,7,,,7
541,,"255-B","K R Market","Nagaroor",26.8,1,4,4,8,,,8
542,,"255-C","K R Market","Pillahalli",27.4,1,6,6,12,,,12
543,,"255-D","Kempegowda Bus Stn","Huskur Village",28.6,1,5,5,10,,,10
544,,"255-E","K R Market","Narasipura",30.4,3,15,15,30,,,30
545,,"255-F","K R Market","Bailanjaneya Temple(Byrasettahalli)",32.9,1,5,5,10,,,10
546,,"255-G","K R Market","Bettanagere",31.8,1,4,4,8,,,8
547,,"255-H","K R Market","Govinda Pura",31.5,1,5,5,10,,,10
548,,"255J","K R Market","Hosnnasandra",28,1,5,5,10,,,10
549,,"255-K","Shivajinagar Bus Station","Pillahalli",29.2,1,6,6,12,,,12
550,,"255-M","K.R.Market","Bommashetty Halli",32.2,1,5,5,10,,,10
551,46,256,"K R Market","Shivanapura",29.6,1,5,5,10,,,10
552,,"256-B","K R Market","Gejjagadahalli",28.4,1,4,4,8,,,8
553,,"256-C","Kempegowda Bus Stn","Thippenahalli Anjaneya Temple",18.6,1,6,6,12,,,12
554,,"256-D","K R Market","Ravauthanahalli",28,1,6,6,12,,,12
555,,"256-F","Laggere","Nelamangala",17.8,2,11,11,22,,,22
556,,"256-K","Kempegowda Bus Stn","Adarshanagara ",26.4,1,8,"GS",7,,,7
557,,"256-M","K R Market","Motaganahalli",51.1,1,5,5,10,,,10
558,48,257,"K R Market","Alur",25.1,2,12,12,24,,,24
559,,"257-A","K R Market","Harokyatana Halli",24.5,1,6,6,12,,,12
560,,"257-B","K R Market","M.Kodi Palya",20.5,1,6,6,12,,,12
561,,"257-C","Kempegowda Bus Stn","Anchepalya",18.2,1,8,"GS",8,,,8
562,,"257-D","K R Market","Kuduregere",24.5,1,7,7,14,,,14
563,,"257-E","K R Market","Alurpalya",26.3,1,7,7,14,,,14
564,,"257-G","Kempegowda Bus Stn","Adakamaranahalli",22.5,2,11,11,22,,,22
565,,"257-H","Shivajinagara Bus Station","Alur",24.2,1,5,5,10,,,10
566,49,258,"K R Market","Nelamangala",30.4,5,20,20,40,,,40
567,,"258-A","K R Market","Papabhovi Palya",36.1,1,5,5,10,,,10
568,,"258-AB","Kempegowda Bus Stn","Vajarahalli",28.5,1,8,"GS",8,,,8
569,,"258-B","Kempegowda Bus Stn","Nelamangala (Via,Bypass Road )",26.3,3,15,15,30,,,30
570,,"258-C","Kempegowda Bus Stn","Nelamangala",26.7,18,72,72,144,,,144
571,,"258-CB","Govardhan ","Nelamangala",21,7,26,26,52,,,60
572,,"258-CC","Kempegowda Bus Stn","Nelamangala",26.7,6,48,48,96,,,96
573,,"258-CD","K.R.Market","Binnamangala ",25.3,1,4,6,10,,,10
574,,"258-E","K R Market","Mylanahalli",34.2,2,10,10,20,,,20
575,,"258-F","K R Market","Shivanapura",38.2,1,5,5,10,,,10
576,,"258-G","K R Market","Guruvanahalli",38.3,1,4,4,8,,,8
577,,"258-GA","K R Market","Bommashetty Halli",36.3,1,3,4,7,,,7
578,,"258-K","K R Market","Yantaganahalli",37.3,2,15,15,30,,,30
579,,"258-KA","K.R.Market","Mahadevapura ",40.2,1,3,5,8,,,8
580,,"258-M","K R Market","Tyamagondlu",47.4,3,13,13,26,,,26
581,,"258-MA","K R Market","Jakkanahalli ",43.9,1,1,3,4,,,4
582,,"258-N","Shivajinagar","Nelamangala",27.9,2,12,12,24,,,24
583,,"258-P","K R Market","Islampura",32.8,1,5,5,10,,,10
584,,"258-Q","K R Market","Hunnigere",38.5,1,5,5,10,,,10
585,,"258-QA","Kempegowda Bus Stn","Mantanakurchi",35.4,1,3,3,6,,,6
586,,"258-R","K R Market","Honnasandra",40.3,1,4,4,8,,,8
587,,"258-S","K R Market","Ramadevanahalli",45.8,1,3,3,6,,,6
588,,"258-SA","K.R.Market","Vajrakattepalya",41.1,1,3,3,6,,,6
589,,"258-SB","K.R.Market","Isuvanahalli",49,1,4,4,8,,,8
590,,"258-T","Kempegowda Bus Stn","Kannamangala ",40.5,1,6,6,12,,,12
591,,"258-TA","K.R.Market","Kannamangala ",43.5,1,3,5,8,,,8
592,,"258-TB","K.R.Market","Arjunbettahalli",39.1,1,8,"GS",6,,,6
593,,"258-U","K R Market","Gorinabele ",37.3,1,3,4,7,,,7
594,,"258-V","K R Market","Soladevanahalli",42.8,2,4,6,10,,,10
595,,"258-VA","Kempegowda Bus Stn","Thore Kempanahalli ",35.8,1,3,3,6,,,6
596,,"258-VB","Kempegowda Bus Stn","Chkkamaranahalli ",33.8,1,3,4,7,,,7
597,,"258-VC","K.R.Market","Yelachagere ",36.5,1,4,4,8,,,8
598,,"258-VD","K.R.Market","Hemapura ",41,1,3,4,7,,,7
599,,"258-VF","K.R.Market","Yennegee ",38.4,1,3,5,8,,,8
600,,"258-VG","Kempegowda Bus Stn","Bittasandra ",41.8,1,6,"GS",6,,,6
601,,"258-W","Kempegowda Bus Stn","Jodi Ragithimmasandra",41,1,6,6,12,,,12
602,,"258-X","Nelamangal ","Mutyalanagar Temple ",24.7,1,5,5,10,,,10
603,,"258-Y","K.R.Market","Mallarabanawadi",36,1,6,"GS",6,,,6
604,,"258-YA","K R Market","Anchipura",37.1,1,5,5,10,,,10
605,49,"259-B","Shivajinagar ","Suvarna Nagar(Doddabidarakallu)",19.6,1,10,"GS",10,,,10
606,50,261,"Kempegowda Bus Stn","Peenya 2nd Stage",15.3,1,8,8,16,,,16
607,51,"262-A","Peenya 2nd Stage","J.P.Nagar 3rd Phase",29.5,1,6,6,12,,,14
608,52,263,"K R Market","Kammasandra",32.4,2,12,12,24,,,24
609,,"263-A","K R Market","Thippenahalli",22.5,2,12,12,24,,,24
610,,"263-B","K R Market","Gangondanahalli",22.5,2,13,13,26,,,26
611,,"263-C","K R Market","Kadirenahalli",30,1,6,6,12,,,12
612,,"263-D","K R Market","K.R.S.Gowda Layout",14.1,1,10,10,20,,,20
613,,"263-E","K R Market","Channa Nayakana Halli",20.5,2,15,15,30,,,30
614,,"263-F","Kempegowda Bus Stn","Andrahalli",17.7,1,9,9,18,,,18
615,,"263-G","Kempegowda Bus Stn","Gangondanahalli",18.5,1,7,7,14,,,14
616,,"263-H","Kempegowda Bus Stn","Dodda Bidarakallu",18.2,1,7,7,14,,,14
617,,"263-J","K.R.Market","Nagasandra",17.5,1,6,6,12,,,12
618,,"263-K","Kempegowda Bus Stn","Kammasandra Palya ",28,1,8,"GS",8,,,8
619,,"263-M","Kempegowda Bus Stn","Thippenahalli",19,1,9,"GS",9,,,9
620,,"263-N","K.R.Market ","Dodda Bidarakallu",21.7,1,10,"GS",10,,,10
621,,"263-P","8th Mile (Tumkur Rd)","Madanayakanahalli ",12,1,16,"GS",16,,,16
622,53,264,"Kempegowda Bus Stn","Kempegowda Bus Stn (Ring Route)",27,1,8,8,16,,,16
623,,"264-A","Kempegowda Bus Stn","Kempegowda Bus Stn (Ring Route)",27,4,24,24,48,,,48
624,54,265,"Kempegowda Bus Stn","Kempegowda Bus Stn (Ring Route)",29.2,10,46,46,92,,,92
625,,"265-A","Kempegowda Bus Stn","Kempegowda Bus Stn (Ring Route)",28.7,11,50,50,100,,,100
626,,"265-B","Kempegowda Bus Stn","Tigalara Palya",15.9,2,17,17,34,,,34
627,,"265-D","Kempegowda Bus Stn","Vigneshwara Nagar",11.9,1,10,10,20,,,20
628,,"265E","Kempegowda Bus Stn","Mathahalli",26,2,10,10,20,,,20
629,55,266,"K R Market","Indo Danish Farm",30.4,2,14,14,28,,,
630,,"266-A","K R Market","Muthkur",28.6,1,5,5,10,,,
631,,"266-B","K R Market","Mylappanahalli",26.4,1,6,6,12,,,
632,,"266-C","K R Market","Kakolu",32.5,1,6,6,12,,,
633,,"266-D","K R Market","Hesaraghatta",29.7,1,12,12,24,,,
634,,"266-E","K R Market","Madhugiri Halli",30.7,1,8,8,16,,,
635,,"266-F","K R Market","Guni Agrahars",24,1,6,6,12,,,
636,,"266-G","K R Market","Muthugadahalli",26.8,1,5,5,10,,,
637,,"266-H","Kempegowda Bus Stn","Marasandra",39.5,1,4,4,8,,,
638,,"266-K","K R Market","Madappanahalli",28.8,1,4,4,8,,,
639,,"266-M","K R Market","Kondashettyhalli",25.6,1,6,6,12,,,
640,,"266-N","K.R.Market","Shamarajapura",23.2,1,5,5,10,,,
641,,"266-Q","K.R.Market ","Khansirama Nagara ",20.2,1,10,"GS",10,,,
642,,"266-R","K.R.Market","Rainbow Layout ",22.4,1,8,"GS",8,,,
643,,"266-T","Kempegowda Bus Stn","Lakshmipura ",18.2,1,10,"GS",10,,,
644,56,267,"K R Market","Laggere",14,2,15,15,30,,,
645,,"267-A","Kempegowda Bus Stn","Chowdeshwari Nagar",20.8,1,7,7,14,,,
646,,"267-B","Shivajinagar Bus Station","Chowdeshwari Nagar",21.5,2,15,15,30,,,
647,,"267-C","K.R.market","Rajiv Gandhi Nagar",15.7,1,6,6,12,,,
648,57,268,"K R Market","Yelahanka Setellite town",21.8,1,8,8,16,,,
649,58,269,"Kempegowda Bus Stn","Ramachandrapura",11.7,2,8,8,16,,,
650,,"269-A","Kempegowda Bus Stn","Ramachandrapura",11.2,1,10,10,20,,,
651,,"269-B","Kempegowda Bus Stn","Vidyaranyapura",13.9,3,15,15,30,,,
652,,"269-C","Shivajinagara Bus Station","Ramachandrapura",11.8,1,7,9,16,,,
653,59,270,"Shivajinagar","Anchepalya",21.5,5,29,29,58,,,
654,,"270-A","Shivajinagar","Jalahalli Cross",17,2,18,18,36,,,
655,,"270-C","Jalahalli Village","Shivajinagar Bus Station",11.5,1,10,10,20,,,
656,,"270-D","Shivajinagar","Abbigere",17.3,2,18,18,36,,,
657,,"270-E","Shivajinagar Bus Station","Muthyla Nagara J.P.Parkt",10.3,2,16,17,33,,,
658,,"270-G","Shivajinagar Bus Station","Vishwaraiah Enclave",15.8,1,10,"GS",10,,,
659,,"270-H","Sharadamba Nagara ","J.P.Nagar 6th Phase",26.2,2,12,"GS",12,,,
660,,"270-HA","Sharadamba Nagara ","Jayanagar 9th Block ",24.5,4,24,24,48,,,
661,,"270-S","Shivajinagar Bus Station","Shetty halli",16.9,1,10,"GS",10,,,
662,,"270-QA","Yeshawanthapur Bus Station","Yeshwanthpura Bus station",30,1,7,"GS",7,,,
663,,"270-RA","Yeshwanthapura Bus Station","Yeshwanthapura Bus Station",30,1,7,"GS",7,,,
664,60,271,"Kempegowda Bus Stn","Jalahalli East DRDO 2nd phase",13.6,2,18,18,36,,,
665,,"271-A","Kempegowda Bus Stn","Abbigere",15.7,3,24,24,48,,,
666,,"271-B","Kempegowda Bus Stn","Kuvempu Nagara 2nd Phase",13,2,18,18,36,,,
667,,"271-C","Kempegowda Bus Stn","Singapura",15.3,2,15,15,30,,,
668,,"271-D","Kempegowda Bus Stn","Jalahalli Village",11.1,5,49,49,98,,,
669,,"271-E","Kempegowda Bus Stn","Veera Sagara",17.2,1,8,8,16,,,
670,,"271-F","K R Market","Chikka Banavara",20.9,2,10,11,21,,,
671,,"271-G","Kempegowda Bus Stn","Somashettahalli",18.3,2,14,14,28,,,
672,,"271-H","Kempegowda Bus Stn","Yelahanka Satt.Town 5th Phase ",19.5,2,13,"GS",13,,,
673,,"271-J","K R Market","Jalahalli Village",13.9,1,20,20,40,,,
674,,"271-K","Kempegowda Bus Stn","Muthyala Nagara Temple ",10.3,3,33,33,66,,,
675,,"271-M","ISRO Layout","Jalahalli 7th Camp",27.3,1,3,5,8,,,
676,,"271-N","K.R.Market","Kereguddadahalli ",18.8,1,9,"GS",9,,,
677,,"271-P","Kempegowda Bus Stn","Raghavendra Badavane",16.3,1,10,"GS",10,,,
678,,"271-Q","Yeshawanthapur","Yeshwanthpura",22.2,4,15,15,30,,,
679,,"271-R","Yeshawanthapur","Yeshwanthpura",22.2,4,14,15,29,,,
680,61,272,"Shivajinagar","Laxmipura Cross",19.1,1,6,6,12,,,
681,,"272-A","Shivajinagar","M.S.Palya",16.4,1,6,6,12,,,
682,,"272-B","Shivajinagar","Silvepura",25.9,1,6,6,12,,,
683,,"272-E","Shivajinagar","Mohammedsab Palya",16.9,1,9,9,18,,,
684,62,273,"Kempegowda Bus Stn","Peenya 2nd Stage",18.9,7,42,42,84,,,
685,,"273-B","Kempegowda Bus Stn","Medarahalli",19.4,3,15,15,30,,,
686,,"273-C","Kempegowda Bus Stn","Jalahalli Cross",14.7,9,72,72,144,,,
687,,"273-D","Kempegowda Bus Stn","Peenya 2nd Stage",20,1,6,6,12,,,
688,,"273-E","K.R.Market ","Medarahalli",20,1,4,4,8,,,
689,,"273-F","Kempegowda Bus Stn","Peenya 2nd Stage",18.9,2,14,14,28,,,
690,,"273-H","Kempegowda Bus Stn","Sharadamba Nagara ",17.8,1,12,"GS",12,,,
691,,"273-J","Kempegowda Bus Stn","Jaraka Bande Forest Colony",15.3,1,8,8,16,,,
692,63,275,"K R Market","HMT Watch Factory",16,1,8,8,16,,,
693,,"275-A","Kempegowda Bus Stn","Kempegowda Bus Stn (Ring Route)",32.1,3,12,12,24,,,
694,,"275-B","Kempegowda Bus Stn","Kempegowda Bus Stn (Ring Route)",32.1,3,18,18,36,,,
695,,"275-C","Kempegowda Bus Stn","ISRO Quarters",12,2,23,23,46,,,
696,,"275-D","Kempegowda Bus Stn","Vidyaranyapura",14.9,1,9,9,18,,,
697,,"275-E","Kempegowda Bus Stn","ISRO Colony (Jalahalli)",13.4,1,12,"GS",12,,,
698,,"275-M","Kempegowda Bus Stn","Gokula",11.1,1,12,"GS",12,,,
699,64,276,"Kempegowda Bus Stn","Vidyaranyapura",15.2,15,75,75,150,,,
700,,"276-A","Shivajinagar","Vidyaranyapura",16,5,42,42,84,,,
701,,"276-C","Kempegowda Bus Stn","Lotte Gollahalli",11.9,2,20,20,40,,,
702,,"276-D","K R Market","Vidyaranyapura",14.6,1,8,8,16,,,
703,,"276-E","K R Market","Vidyaranyapura",18,1,8,8,16,,,
704,,"276-F","Shivajinagr","Yelahanka Satt.Town 5th Phase ",20.1,1,5,5,10,,,
705,,"276-H","J.P.Nagar 6th Phase","Vidyaranyapura",24.7,5,33,33,66,,,
706,,"276-J","Kempegowda Bus Stn","Yelahanka",22.6,1,12,12,24,,,
707,,"276-K","K R Market","Tata Nagar",13.3,1,9,9,18,,,
708,,"276-L","Yelahanka","Basaveshwara Nagar",24.1,1,6,8,14,,,
709,,"276-M","Shivajinagar Bus Station","Vidyaranyapura",19.4,2,20,"GS",20,,,
710,,"276-N","Vidaranyapura ","Naidu Layout",30,3,15,15,30,,,
711,,"276-P","Kempegowda Bus Stn","Kabheer Ashrama(Doddabommasandra)",13,1,8,9,17,,,
712,,"276-Q","Vidaranyapura ","Vidyaranyapura",18,1,13,"GS",13,,,
713,,"276-R","Vidaranyapura ","Vidyaranyapura",18,1,13,"GS",13,,,
714,65,277,"Kempegowda Bus Stn","G.K.V.K",14,1,9,9,18,,,
715,,278,"Shivajinagar","Nagashetti Halli",9.1,1,20,20,40,,,
716,,"278-A","Shivajinagar","Tata Nagar",11,1,12,12,24,,,
717,,"278-B","Nagashetty Halli","Jayanagar Bus Station",17.3,1,9,9,18,,,
718,,"278-E","Shivajinagar","Bhoopasandra",10.2,5,44,44,88,,,
719,,"278-K","Shivajinagar","Patalappa Layout",9.7,1,13,13,26,,,
720,66,279,"Kempegowda Bus Stn","Nagashetti Halli",11.8,2,19,19,38,,,
721,,"279-A","K R Market","Bhoopasandra",13.8,5,25,25,50,,,
722,,"279-C","Kempegowda Bus Stn","Tata Nagar",12,2,19,19,38,,,
723,,"279-E","Kempegowda Bus Stn","Bhoopasandra",10.9,10,100,103,203,,,
724,,"279-F","Chikkalasandra Village","Bhoopasandra",24.3,1,7,7,14,,,
725,,"279-G","R.P.C.Layout","Bhoopasandra",16.8,2,14,14,28,,,
726,,"279-H","Kempegowda Bus Stn","Boopasandra",12.3,2,28,"GS",28,,,
727,,"279-J","Chikkalasandra Sarigenagar","Bhoopasandra",24.3,1,6,6,12,,,
728,,"279-K","Kempegowda Bus Stn","Patalappa Layout",9.6,1,12,12,24,,,
729,67,280,"K R Market","Bella Halli",25.3,1,6,6,12,,,
730,,"280-A","K R Market","Agrahara Layout",24.1,5,25,25,50,,,
731,,"280-B","Yelahanka","Hosakote",42,1,4,4,8,,,
732,,"280-C","K.R.Market ","Maruthi Nagar",27.8,1,6,6,12,,,
733,,"280-D","K R Market","Yelahanka",21.5,1,5,5,10,,,
734,,"280-E","K.R.Market ","Kannur",24.1,1,5,5,10,,,
735,,"280-F","K R Market","Hosakote",26.5,3,14,14,28,,,
736,,"280-J","Kempegowda Bus Stn","Agrahara",35.5,1,5,5,10,,,
737,,"280-K","K R Market","Meesaganahalli",24.2,1,7,7,14,,,
738,,"280-L","Kempegowda Bus Stn","Yerappanahalli ",29.2,1,4,5,9,,,
739,,"280-M","K.R.Market","Sampigehalli ",24.8,1,8,"GS",8,,,
740,68,281,"Kempegowda Bus Stn","Shetty halli",24.9,1,5,5,10,,,
741,,"281-C","K R Market","I.A.F.",33,1,8,8,16,,,
742,,"281-D","K R Market","Kuduregere",33.8,1,5,5,10,,,
743,,"281-F","K R Market","Mylanahalli",33.4,1,5,5,10,,,
744,,"281-K","Yelahanka","Palekamma Nagara ",10.9,1,17,"GS",17,,,
745,,"281-G","Kempegowda Bus Stn","Mailanahalli",35.6,1,4,4,8,,,
746,69,282,"K R Market","Uttanahalli",50.8,1,5,5,10,,,
747,,"282-A","K R Market","Hosahalli",30.5,2,11,11,22,,,
748,,"282-B","K R Market","Meesaganahalli",29.4,2,11,11,22,,,
749,,"282-C","K R Market","Razak Palya",32.5,2,11,11,22,,,
750,,"282-D","K R Market","Billa Maranahalli",33.5,2,9,9,18,,,
751,,"282-E","Shivajinagar","Uttanahalli",27.9,1,4,4,8,,,
752,,"282-F","Kempegowda Bus Stn","Doddajala Colony",29.6,1,4,4,8,,,
753,,"282-G","Kempegowda Bus Stn","Kodagalahatti",22.8,1,5,6,11,,,
754,70,283,"K R Market","Bella Halasoor",48.8,2,11,11,22,,,
755,,"283-A","K R Market","Suggatta",27.2,1,9,9,18,,,
756,,"283-B","K R Market","Gadenahalli ",34.3,1,3,6,9,,,
757,,"283-D","K R Market","Kuduregere",33.2,1,7,7,14,,,
758,,"283-E","K R Market","Thara Hunise",30.5,1,6,6,12,,,
759,71,284,"Kempegowda Bus Stn","Yelahanka",16.2,5,38,38,76,,,
760,,"284-A","K.R.Market ","Yelahanka Satellite Town",20.3,2,23,23,46,,,
761,,"284-B","Shivajinagar","Puttenahalli",19.4,2,13,13,26,,,
762,,"284-C","Kempegowda Bus Stn","Judicial Layout",15.1,2,16,16,32,,,
763,,"284-D","Kempegowda Bus Stn","Yelahanka Satellite Town",17.6,15,92,92,184,,,
764,,"284-E","Kempegowda Bus Stn","Allalasandra",17.5,1,8,8,16,,,
765,,"284-G","Shivajinagar Bus Station","Kendriya Vihara",16.2,1,8,8,16,,,
766,,"284-J","Kempegowda Bus Stn","Kondappa Badavane ",17.7,1,9,"GS",9,,,
767,,"284-K","Yelahanka","Mahalaxmi Layout",16.3,1,7,7,14,,,
768,,"284-L","Yelahanka","Sulthanpalya ",13,1,12,"GS",12,,,
769,72,285,"K R Market","Thara Hunise",30.5,2,12,12,24,,,
770,,"285-A","K R Market","Nagadasana Halli",28.9,1,6,6,12,,,
771,,"285-AA","Mekhri Circle","Rajanukunte",21.5,2,11,11,22,,,
772,,"285-B","K R Market","Ramagondanahalli",24.3,2,8,8,16,,,
773,,"285-BA","Kempegowda Bus Stn","Anthapura Gate",18.1,1,8,8,16,,,
